"","PeriodYear","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","helpers","GenContSire","FSL","FDL","FFL","RainWindow","RainVar","DamRainVar","Sex","LayYear","survival","PeriodStart","PeriodEnd","age","dam","sire","dam_age","sire_age","Dam_RainWindow","yearlytq_corr","yearlytq","helpers_cat","offspring","MeanAgeParent","DeltaAgeParent","lifespan","GroupSize","HelpersF","GenContF2","GenContD2","GenContS2","Focal_RainVarBlood","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar"
"298",2010,"1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0,0.0466644499623525,-0.889299915360808,-1.44101056432007,-0.132341679334889,115.133333333333,17982.5829722443,24266.2541121751,"0",1996,0,2010.1,2010.9,2.17602595653386,"1043","559",-1.01624296229586,2.94656037128516,125.733333333333,25069.71699,25069.71699,"0",0,10.5,3.5,2.20211831804772,0.317984703699325,1.89600723387475,0.0828562802514824,0.0459145034420814,0.0466644499623525,0.190452011294839,1.11936815413273,-3.08097423269622,-3.06477264697587,1.20914279974466,1.17567174735628,-1.39157033420147,-0.686134291950348
"299",2010,"1305",-0.007619151656277,-0.0240739648231035,0.0413510892983211,0.0489702409545981,0,0.0654250541214246,0.0171567369108758,-0.657192998159256,1.33818552671168,357.1,11692.558,6837.80397435898,"0",1998,1,2010.1,2010.9,1.87436413371392,"1177","854",-0.887122167902686,3.38082191780836,115.133333333333,NA,NA,"0",0,7,6,0.0670985485062947,0.317984703699325,-0.52640987083009,0.0413510892983211,0.0489702409545981,0.0654250541214246,-0.406810109069396,-1.02181659662339,-3.01654249282672,-2.72685000333777,-0.293335506950445,-1.00503656329004,0.134620629848009,2.65132780448564
"300",2010,"1510",-0.0124730788531426,0.00639197449481063,0.051961562228055,0.0644346410811976,0,0.0455695877332443,0.895517087693324,0.0948801472193388,1.06089218610301,90.4,19265.1351801501,34968.4026923077,"0",1999,1,2010.1,2010.9,1.27104048807403,"1247","1020",-0.507072205884972,3.62739726027394,141.377777777778,NA,NA,"0",0,5.5,5.5,-0.275966472441554,-0.906845266105482,-0.52640987083009,0.051961562228055,0.0644346410811976,0.0455695877332443,0.312235287919626,-0.318144394352949,-2.74210388550332,-3.0885147206368,-0.384407492413501,0.24071023332546,0.808564048802394,1.50672767542279
"301",2010,"1716",0.0475192580674012,0.0410217713187314,0.0934337615094826,0.0459145034420814,1,0.0524119901907512,-2.18680066183084,-1.44101056432007,-0.632144348419286,180.377777777778,16379.8036097561,24266.2541121751,"0",2002,0,2010.1,2010.9,0.3660550196142,"1043","1412",1.09261593310112,4.07671232876714,125.733333333333,29681.02248,29681.02248,"1",1,7.5,0.5,0.901182748920739,0.317984703699325,-0.52640987083009,0.0934337615094826,0.0459145034420814,0.0524119901907512,0.0382619318055074,1.48951180705569,-3.08097423269622,-2.94861989339636,1.446838267543,1.18410055439614,1.0512724111108,0.972731335442985
"302",2010,"1753",0.00350760733345905,-0.00239322808669298,0.0549875797429517,0.0514799724094926,0,0.0573808078296446,0.114906882242877,0.909491587281827,0.0699073613505996,227.644444444444,60268.6802777778,21815.4118435078,"0",2002,0,2010.1,2010.9,0.3660550196142,"1244","1188",0.295162312112243,5.17775282581033,223.033333333333,16574.91549,16574.91549,"0",0,5,3,-0.278324307637072,-0.906845266105482,-0.52640987083009,0.0549875797429517,0.0514799724094926,0.0573808078296446,4.20567997145028,-0.143761488109746,-2.9665624322005,-2.8580453899354,0.171645267068842,-0.126353417223747,1.53752808065258,1.89696963883298
"303",2010,"1753",0.00350760733345905,-0.00239322808669298,0.0549875797429517,0.0514799724094926,0,0.0573808078296446,0.114906882242877,0.909491587281827,0.0699073613505996,227.644444444444,60268.6802777778,21815.4118435078,"0",2002,0,2010.1,2010.9,0.3660550196142,"1244","1188",0.295162312112243,5.17775282581033,223.033333333333,16574.91549,16574.91549,"0",0,5,3,-0.278324307637072,0.317984703699325,1.89600723387475,0.0549875797429517,0.0514799724094926,0.0573808078296446,4.20567997145028,-0.143761488109746,-2.9665624322005,-2.8580453899354,0.171645267068842,-0.126353417223747,1.53752808065258,1.89696963883298
"304",2010,"1864",-0.044022776258799,0.0249487664921797,0.0560041264638899,0.100026902722689,0,0.0310553599717103,0.847438970956359,0.97757851786374,0.764921043704314,150.388888888889,12588.2127025765,20641.8694783933,"0",2003,0,2010.1,2010.9,0.064393196794257,"1503","1209",0.236835368610553,6.03013698630116,150.666666666667,15405.20166,15405.20166,"0",0,5.58333333333333,1.41666666666667,-0.0826239864090894,-0.906845266105482,-0.52640987083009,0.0560041264638899,0.100026902722689,0.0310553599717103,-0.321764242139528,-0.0873272317304871,-2.30231610194849,-3.47198386161283,-1.10626027318617,1.208456420734,1.50128908149251,1.0557141743185
"305",2010,"2968",-0.0381041192263419,-0.0194445367880318,0.0485883837377727,0.0866925029641146,1,0.0680329205258045,-0.00837480342351201,-1.04732224970271,-2.70232439141984,160.8,12841.3616693069,16921.0113884535,"0",2003,0,2010.1,2010.9,0.064393196794257,"459","176",2.53416088159262,15.0512313795944,107.544444444444,33707.4574,33707.4574,"1",1,5.5,1.5,-0.212894380961452,1.54281467350413,1.89600723387475,0.0485883837377727,0.0866925029641146,0.0680329205258045,-0.297726771810778,-0.524927154725986,-2.44538786993661,-2.68776356557744,-1.10422078312097,-0.74705139150179,-0.0190197695621624,0.280547993793017
"306",2010,"2968",-0.0381041192263419,-0.0194445367880318,0.0485883837377727,0.0866925029641146,1,0.0680329205258045,-0.00837480342351201,-1.04732224970271,-2.70232439141984,160.8,12841.3616693069,16921.0113884535,"0",2003,0,2010.1,2010.9,0.064393196794257,"459","176",2.53416088159262,15.0512313795944,107.544444444444,33707.4574,33707.4574,"1",1,5.5,1.5,-0.212894380961452,2.76764464330894,1.89600723387475,0.0485883837377727,0.0866925029641146,0.0680329205258045,-0.297726771810778,-0.524927154725986,-2.44538786993661,-2.68776356557744,-1.10422078312097,-0.74705139150179,-0.0190197695621624,0.280547993793017
"307",2010,"2968",-0.0381041192263419,-0.0194445367880318,0.0485883837377727,0.0866925029641146,1,0.0680329205258045,-0.00837480342351201,-1.04732224970271,-2.70232439141984,160.8,12841.3616693069,16921.0113884535,"0",2003,0,2010.1,2010.9,0.064393196794257,"459","176",2.53416088159262,15.0512313795944,107.544444444444,33707.4574,33707.4574,"1",1,5.5,1.5,-0.212894380961452,2.76764464330894,-0.52640987083009,0.0485883837377727,0.0866925029641146,0.0680329205258045,-0.297726771810778,-0.524927154725986,-2.44538786993661,-2.68776356557744,-1.10422078312097,-0.74705139150179,-0.0190197695621624,0.280547993793017
"308",2010,"2968",-0.0381041192263419,-0.0194445367880318,0.0485883837377727,0.0866925029641146,1,0.0680329205258045,-0.00837480342351201,-1.04732224970271,-2.70232439141984,160.8,12841.3616693069,16921.0113884535,"0",2003,0,2010.1,2010.9,0.064393196794257,"459","176",2.53416088159262,15.0512313795944,107.544444444444,33707.4574,33707.4574,"1",1,5.5,1.5,-0.212894380961452,-0.906845266105482,-0.52640987083009,0.0485883837377727,0.0866925029641146,0.0680329205258045,-0.297726771810778,-0.524927154725986,-2.44538786993661,-2.68776356557744,-1.10422078312097,-0.74705139150179,-0.0190197695621624,0.280547993793017
"309",2010,"3002",-0.014588446803797,-0.0451503888316715,0.0525207221873888,0.0671091689911858,0,0.0976711110190603,0.543161532451247,0.693625082712081,1.21266744864255,155.488888888889,15043.945892317,15649.8439857189,"0",2003,0,2010.1,2010.9,0.064393196794257,"1782","1495",-0.864683302107843,4.32328767123295,180.377777777778,12532.65405,12532.65405,"0",1,6,1,-0.156895795067902,-0.906845266105482,-0.52640987083009,0.0525207221873888,0.0671091689911858,0.0976711110190603,-0.0885829084524042,-0.285168893680342,-2.70143459767534,-2.3261494543539,-0.443691769232192,-1.34618598373442,1.00056832300131,-0.203242940512134
